employee_id,gender,age,h_date,p01,p02,p03,p04
100,female,24,7/1/2013,4,5,3,5
101,male,48,12/1/2007,2,3,2,1
102,female,28,2/1/2009,2,2,2,2
103,female,40,2/1/2007,2,4,NA,5
104,female,27,8/1/2006,1,5,5,5
105,male,43,9/1/2006,2,NA,2,3
106,female,482,6/1/2008,4,1,3,1
107,female,49,3/1/2014,NA,5,1,3
108,female,43,11/1/2013,3,5,NA,5
109,male,43,9/1/2005,4,NA,1,2
110,male,55,11/1/2007,1,3,NA,3
111,female,44,5/1/2007,2,NA,1,4
112,male,493,10/1/2011,2,3,1,3
113,male,41,12/1/2005,5,NA,3,4
114,female,33,11/1/2010,5,4,5,5
115,female,26,7/1/2014,5,3,3,5
116,female,42,6/1/2010,5,3,5,2
117,male,39,1/1/2008,5,1,NA,4
118,female,44,1/1/2006,4,1,4,1
119,male,30,4/1/2011,NA,2,4,5
120,male,44,4/1/2006,5,4,1,2
121,female,483,5/1/2010,3,3,4,5
122,male,38,8/1/2009,5,5,2,3
123,female,37,7/1/2008,5,3,NA,5
124,female,27,8/1/2013,4,1,5,5
125,female,34,7/1/2010,4,5,5,NA
126,female,40,7/1/2010,4,5,NA,2
127,male,48,5/1/2012,4,3,NA,2
128,male,33,4/1/2010,5,NA,2,4
129,female,27,5/1/2007,NA,1,3,2
130,female,22,4/1/2010,NA,4,1,5
131,male,43,3/1/2013,3,NA,3,1
132,male,39,12/1/2012,1,3,1,5
133,male,48,11/1/2012,3,2,NA,1
134,female,46,12/1/2012,5,3,1,2
135,female,38,1/1/2010,1,1,1,2
136,female,34,12/1/2011,1,NA,4,2
137,female,36,2/1/2011,5,4,4,5
138,female,489,9/1/2006,1,1,5,1
139,female,487,2/1/2010,2,4,4,1
140,female,39,1/1/2012,2,NA,5,2
141,female,39,1/1/2009,5,1,3,NA
142,female,40,2/1/2014,5,4,5,2
143,female,28,9/1/2009,1,2,5,1
144,female,31,6/1/2006,4,3,1,3
145,female,30,3/1/2009,1,1,3,2
146,male,48,3/1/2009,1,3,3,4
147,female,39,11/1/2011,5,4,3,3
148,female,36,8/1/2010,1,2,3,1
149,female,36,1/1/2012,5,NA,4,3
150,female,34,5/1/2005,5,NA,5,3
151,male,45,7/1/2014,2,3,1,3
152,male,44,5/1/2011,1,3,4,5
153,female,44,10/1/2007,2,3,4,5
154,male,32,5/1/2007,3,3,3,2
155,male,43,1/1/2012,2,5,1,4
156,female,18,7/1/2005,3,5,NA,3
157,male,49,9/1/2013,5,3,NA,3
158,female,39,7/1/2009,NA,1,1,3
159,female,39,2/1/2010,1,2,NA,4
160,female,31,12/1/2007,5,NA,2,3
161,male,53,10/1/2008,2,1,NA,2
162,female,37,10/1/2012,4,3,2,1
163,female,36,10/1/2014,1,1,4,2
164,female,32,3/1/2008,4,2,NA,3
165,female,26,9/1/2011,5,NA,3,5
166,female,497,10/1/2012,1,5,4,5
167,male,36,8/1/2013,1,2,3,5
168,female,49,6/1/2012,5,1,3,NA
169,male,497,9/1/2009,4,1,4,2
170,female,41,10/1/2013,3,4,3,5
171,female,35,11/1/2012,2,NA,2,4
172,female,44,1/1/2013,1,3,2,4
173,female,37,4/1/2007,2,1,NA,3
174,male,30,1/1/2009,4,NA,1,1
175,male,497,3/1/2009,4,NA,5,5
176,male,32,3/1/2010,NA,2,2,2
177,female,42,11/1/2007,4,5,4,NA
178,male,43,7/1/2006,NA,4,3,5
179,female,16,7/1/2009,5,1,5,2
180,female,32,1/1/2007,3,5,2,2
181,female,35,9/1/2013,2,3,2,2
182,female,29,9/1/2013,2,5,5,3
183,female,39,1/1/2010,5,4,2,NA
184,female,33,3/1/2008,1,2,3,5
185,female,41,8/1/2011,4,2,NA,5
186,male,58,8/1/2012,2,NA,5,5
187,female,33,11/1/2010,1,2,2,2
188,male,28,1/1/2010,5,5,NA,3
189,female,42,11/1/2005,1,NA,2,2
190,female,491,10/1/2012,5,1,1,5
191,female,44,12/1/2013,4,4,2,3
192,male,42,7/1/2008,3,2,3,1
193,female,34,10/1/2013,1,5,NA,1
194,female,22,10/1/2009,1,1,NA,NA
195,female,20,4/1/2012,3,1,5,4
196,female,32,5/1/2007,5,NA,NA,1
197,female,40,1/1/2012,2,1,2,1
198,male,41,4/1/2011,5,NA,3,3
199,female,52,7/1/2007,5,4,1,2
200,female,490,7/1/2014,4,2,5,1
201,female,43,10/1/2006,3,NA,3,1
202,female,31,11/1/2005,5,5,4,2
203,female,39,6/1/2013,5,1,2,4
204,male,35,11/1/2009,2,1,3,3
